iter	Logloss
0	0.6142895336
1	0.5580548382
2	0.5218065649
3	0.4976774674
4	0.4824365252
5	0.4704798747
6	0.46138717
7	0.455772534
8	0.4513028155
9	0.4471728736
10	0.4446787324
11	0.4416619471
12	0.4391551933
13	0.4370291583
14	0.4355297805
15	0.4340065197
16	0.4330540998
17	0.43197529
18	0.4309084517
19	0.4301632474
20	0.42965435
21	0.4289392235
22	0.4283370729
23	0.4278396195
24	0.4272661734
25	0.426847716
26	0.426479639
27	0.4261553828
28	0.4258492252
29	0.4254663229
30	0.424970116
31	0.4246893639
32	0.4244156971
33	0.4241648001
34	0.4239308559
35	0.4238086906
36	0.4235526579
37	0.4233727112
38	0.4231033403
39	0.4229979401
40	0.4227830231
41	0.4227196183
42	0.4226085687
43	0.422529847
44	0.4224413521
45	0.4223441673
46	0.4221586698
47	0.4220850644
48	0.4218407445
49	0.421774484
50	0.4215546488
51	0.4213087489
52	0.4212079466
53	0.4210370608
54	0.4209279509
55	0.4208249258
56	0.4206884224
57	0.4206315182
58	0.4205814649
59	0.420510658
60	0.4204517501
61	0.420351203
62	0.4202686153
63	0.4201661048
64	0.4199758995
65	0.4199167924
66	0.4197445992
67	0.4195908605
68	0.4195374429
69	0.4194372881
70	0.4193625574
71	0.4192549925
72	0.4191960218
73	0.4190678738
74	0.4189280485
75	0.4188456434
76	0.4188097742
77	0.4187204724
78	0.4186684737
79	0.4185993402
80	0.418546147
81	0.4184914025
82	0.4184020041
83	0.4182827487
84	0.4180609815
85	0.4179858788
86	0.4178777005
87	0.4177583285
88	0.417656146
89	0.4176137703
90	0.4175585914
91	0.4175023906
92	0.4174160776
93	0.4173513052
94	0.4172809444
95	0.4171898225
96	0.4171186794
97	0.4170690229
98	0.4169607214
99	0.4168877417
100	0.4167808081
101	0.4167535276
102	0.4167074309
103	0.4166709687
104	0.4165784772
105	0.4165118791
106	0.4164358974
107	0.4163884808
108	0.4163320915
109	0.4161854249
110	0.4160771527
111	0.4160320211
112	0.4159831495
113	0.4158619358
114	0.4157655267
115	0.4157418463
116	0.4156587704
117	0.4156083217
118	0.4154451051
119	0.4153178502
120	0.4151970749
121	0.4151279408
122	0.4150964353
123	0.4149488646
124	0.4149004557
125	0.4147555005
126	0.4146958403
127	0.4146114386
128	0.414504473
129	0.4144328944
130	0.4143812985
131	0.4142930118
132	0.4142031209
133	0.4141514204
134	0.414064051
135	0.4139669937
136	0.4138150298
137	0.4136656866
138	0.4136098812
139	0.4135330648
140	0.4134679525
141	0.4133411546
142	0.4132418535
143	0.4130981366
144	0.4129618627
145	0.412865996
146	0.412706763
147	0.4126064868
148	0.4125180871
149	0.4124358717
150	0.412287742
151	0.4122397924
152	0.4120918366
153	0.4119911113
154	0.4118462246
155	0.4117519881
156	0.4116633272
157	0.4115293564
158	0.4113801362
159	0.4112903404
160	0.411182713
161	0.4111070006
162	0.4109942247
163	0.4109151467
164	0.410794644
165	0.4107134593
166	0.4106483326
167	0.4105286946
168	0.4104656858
169	0.4103687613
170	0.4102954142
171	0.4102007217
172	0.4101043003
173	0.4100270184
174	0.4099363097
175	0.4098385103
176	0.4097757528
177	0.4096996437
178	0.4096009502
179	0.4095094899
180	0.4094257777
181	0.4093543419
182	0.4092577272
183	0.4091318813
184	0.4089978723
185	0.4088783916
186	0.4088135396
187	0.4087373075
188	0.40865286
189	0.4085365873
190	0.4084048557
191	0.4083163204
192	0.4082666441
193	0.4081811999
194	0.4080768832
195	0.4079927987
196	0.4079030386
197	0.4078303726
198	0.4077394067
199	0.4076020887
200	0.4074876367
201	0.4074034378
202	0.4073065957
203	0.4072126351
204	0.4071090856
205	0.4070018401
206	0.4069137073
207	0.406766687
208	0.4066683363
209	0.4065894757
210	0.4064825867
211	0.4063820374
212	0.4062829123
213	0.4061897734
214	0.4060887675
215	0.4060154236
216	0.4058982323
217	0.4057957971
218	0.4056950399
219	0.4056068429
220	0.4055413732
221	0.4054557159
222	0.405385747
223	0.4053040453
224	0.4052294346
225	0.4051272238
226	0.4050292166
227	0.4049418814
228	0.4048728948
229	0.4047900449
230	0.4047179922
231	0.4046460225
232	0.4045556626
233	0.4044374439
234	0.4043287303
235	0.4042311893
236	0.404151611
237	0.4040788839
238	0.4039832577
239	0.4039249959
240	0.4038536574
241	0.4037702674
242	0.4036891364
243	0.4035795769
244	0.4035058991
245	0.4034280953
246	0.4033550275
247	0.4032446515
248	0.403177955
249	0.4031070067
250	0.4030329793
251	0.4029366415
252	0.4028653791
253	0.4027905851
254	0.4026993238
255	0.4026223718
256	0.4025686183
257	0.4024900637
258	0.4024245881
259	0.4023461726
260	0.402276538
261	0.4021748733
262	0.4020923127
263	0.4019988574
264	0.4019319228
265	0.4018549743
266	0.4017721376
267	0.4017054992
268	0.4016271844
269	0.4015465507
270	0.4014724982
271	0.4014003601
272	0.4012951854
273	0.4012057836
274	0.4011241737
275	0.4010565135
276	0.400991465
277	0.4009211644
278	0.4008313694
279	0.4007663793
280	0.4006750963
281	0.400591453
282	0.4004962318
283	0.4004124583
284	0.400331605
285	0.4002450265
286	0.4001697551
287	0.4001039018
288	0.4000363402
289	0.3999801246
290	0.3998660907
291	0.3998002559
292	0.3997149605
293	0.3996247453
294	0.3995507574
295	0.3994791952
296	0.3993857208
297	0.3993141232
298	0.3992337506
299	0.3991853762
300	0.3991171049
301	0.3990403703
302	0.398973897
303	0.3989089581
304	0.398843656
305	0.3987797504
306	0.3987208204
307	0.3986429832
308	0.3985282702
309	0.3984772276
310	0.3983920926
311	0.3983085302
312	0.3982371966
313	0.3981802518
314	0.3981306173
315	0.3980459045
316	0.3979529636
317	0.3978970289
318	0.397813412
319	0.397753041
320	0.3976724076
321	0.3975374872
322	0.3974527435
323	0.3973469979
324	0.3972750197
325	0.3971943222
326	0.3971467391
327	0.3970794267
328	0.396994329
329	0.3968803477
330	0.396793809
331	0.3967392993
332	0.3966564105
333	0.3965944731
334	0.3965248376
335	0.3964806246
336	0.3963940524
337	0.396318938
338	0.3962280804
339	0.3961628674
340	0.3960990181
341	0.3960135977
342	0.3959506187
343	0.3958870602
344	0.3958141422
345	0.3957567285
346	0.3956623803
347	0.3955868557
348	0.3955006598
