iter	Passed	Remaining
0	25	9997
1	50	10079
2	76	10186
3	103	10294
4	124	9803
5	149	9795
6	176	9899
7	202	9932
8	230	9993
9	255	9967
10	280	9932
11	303	9818
12	335	9991
13	361	9965
14	390	10023
15	419	10073
16	445	10040
17	472	10021
18	498	9988
19	525	9975
20	551	9960
21	580	9981
22	606	9949
23	634	9934
24	662	9934
25	687	9888
26	715	9890
27	743	9875
28	773	9901
29	801	9883
30	828	9860
31	858	9867
32	882	9809
33	909	9792
34	936	9768
35	965	9758
36	997	9783
37	1024	9757
38	1052	9743
39	1082	9739
40	1109	9715
41	1137	9695
42	1165	9672
43	1192	9649
44	1221	9637
45	1250	9623
46	1278	9598
47	1305	9575
48	1334	9555
49	1361	9532
50	1386	9491
51	1411	9445
52	1438	9420
53	1465	9389
54	1492	9362
55	1518	9328
56	1546	9305
57	1572	9270
58	1598	9236
59	1624	9205
60	1653	9189
61	1678	9149
62	1703	9114
63	1733	9098
64	1763	9086
65	1792	9071
66	1818	9038
67	1845	9012
68	1870	8975
69	1899	8955
70	1927	8931
71	1953	8899
72	1980	8869
73	2004	8832
74	2030	8797
75	2056	8765
76	2084	8744
77	2109	8706
78	2138	8688
79	2164	8659
80	2193	8640
81	2221	8616
82	2247	8583
83	2272	8549
84	2304	8539
85	2333	8518
86	2357	8482
87	2384	8454
88	2413	8433
89	2442	8411
90	2473	8398
91	2502	8377
92	2535	8369
93	2566	8356
94	2597	8339
95	2623	8306
96	2650	8279
97	2676	8248
98	2705	8225
99	2733	8201
100	2762	8178
101	2785	8136
102	2813	8111
103	2838	8080
104	2867	8055
105	2894	8029
106	2923	8004
107	2947	7968
108	2971	7933
109	3002	7915
110	3031	7893
111	3062	7875
112	3092	7853
113	3119	7825
114	3147	7799
115	3167	7755
116	3199	7740
117	3227	7713
118	3254	7685
119	3279	7653
120	3305	7620
121	3330	7588
122	3358	7564
123	3381	7527
124	3411	7504
125	3441	7484
126	3469	7458
127	3493	7423
128	3523	7402
129	3549	7371
130	3577	7345
131	3602	7314
132	3626	7280
133	3649	7245
134	3678	7220
135	3708	7199
136	3735	7170
137	3766	7151
138	3795	7126
139	3822	7098
140	3849	7071
141	3876	7042
142	3903	7016
143	3929	6985
144	3956	6957
145	3984	6931
146	4011	6903
147	4036	6873
148	4064	6846
149	4092	6821
150	4120	6794
151	4148	6768
152	4178	6746
153	4208	6722
154	4240	6701
155	4268	6676
156	4299	6654
157	4329	6630
158	4359	6607
159	4388	6583
160	4421	6563
161	4448	6535
162	4476	6509
163	4502	6479
164	4531	6453
165	4560	6429
166	4592	6407
167	4622	6383
168	4652	6359
169	4682	6335
170	4712	6311
171	4740	6284
172	4769	6257
173	4799	6233
174	4831	6211
175	4858	6183
176	4886	6156
177	4915	6130
178	4941	6101
179	4970	6075
180	4999	6048
181	5026	6021
182	5053	5992
183	5082	5966
184	5108	5936
185	5136	5909
186	5165	5883
187	5192	5854
188	5219	5827
189	5249	5802
190	5277	5774
191	5308	5751
192	5336	5723
193	5365	5696
194	5394	5670
195	5424	5645
196	5453	5619
197	5482	5593
198	5510	5565
199	5541	5541
200	5570	5514
201	5604	5493
202	5632	5466
203	5663	5441
204	5694	5417
205	5723	5389
206	5753	5364
207	5785	5340
208	5814	5313
209	5842	5285
210	5871	5259
211	5900	5232
212	5927	5203
213	5956	5176
214	5985	5150
215	6013	5122
216	6041	5094
217	6065	5063
218	6097	5039
219	6127	5013
220	6154	4985
221	6179	4955
222	6208	4927
223	6238	4901
224	6268	4875
225	6301	4851
226	6332	4826
227	6365	4802
228	6396	4776
229	6426	4750
230	6455	4722
231	6484	4695
232	6513	4668
233	6545	4643
234	6577	4618
235	6606	4590
236	6636	4564
237	6663	4535
238	6698	4512
239	6728	4485
240	6762	4461
241	6796	4437
242	6829	4412
243	6862	4387
244	6892	4360
245	6924	4334
246	6955	4308
247	6990	4284
248	7021	4258
249	7055	4233
250	7090	4208
251	7123	4183
252	7162	4161
253	7198	4137
254	7235	4114
255	7268	4088
256	7304	4064
257	7340	4039
258	7389	4022
259	7445	4009
260	7480	3983
261	7519	3960
262	7550	3933
263	7578	3904
264	7606	3875
265	7633	3845
266	7658	3814
267	7686	3785
268	7712	3756
269	7740	3727
270	7768	3697
271	7796	3669
272	7826	3640
273	7857	3613
274	7888	3585
275	7914	3555
276	7942	3526
277	7971	3498
278	7998	3468
279	8029	3441
280	8062	3414
281	8090	3385
282	8115	3355
283	8145	3326
284	8174	3298
285	8199	3268
286	8232	3241
287	8260	3212
288	8292	3184
289	8319	3155
290	8345	3125
291	8373	3096
292	8399	3067
293	8425	3037
294	8453	3008
295	8483	2980
296	8511	2951
297	8537	2922
298	8566	2893
299	8591	2863
300	8621	2835
301	8648	2806
302	8680	2778
303	8706	2749
304	8735	2721
305	8767	2693
306	8796	2664
307	8831	2637
308	8862	2610
309	8892	2581
310	8920	2552
311	8950	2524
312	8977	2495
313	9006	2466
314	9034	2437
315	9064	2409
316	9095	2381
317	9123	2352
318	9153	2324
319	9183	2295
320	9210	2266
321	9238	2237
322	9265	2208
323	9294	2180
324	9321	2151
325	9349	2122
326	9378	2093
327	9406	2064
328	9435	2036
329	9462	2007
330	9496	1979
331	9523	1950
332	9551	1921
333	9579	1892
334	9608	1864
335	9634	1835
336	9661	1806
337	9689	1777
338	9718	1748
339	9747	1720
340	9778	1691
341	9807	1663
342	9838	1634
343	9862	1605
344	9891	1576
345	9921	1548
346	9950	1519
347	9978	1491
348	10003	1461
349	10034	1433
350	10062	1404
351	10091	1376
352	10121	1347
353	10147	1318
354	10177	1290
355	10206	1261
356	10234	1232
357	10264	1204
358	10290	1175
359	10320	1146
360	10346	1117
361	10375	1089
362	10404	1060
363	10432	1031
364	10457	1002
365	10486	974
366	10513	945
367	10540	916
368	10569	887
369	10598	859
370	10629	830
371	10656	802
372	10682	773
373	10709	744
374	10738	715
375	10768	687
376	10798	658
377	10827	630
378	10855	601
379	10881	572
380	10909	544
381	10942	515
382	10972	487
383	11001	458
384	11034	429
385	11064	401
386	11092	372
387	11117	343
388	11145	315
389	11174	286
390	11202	257
391	11231	229
392	11259	200
393	11288	171
394	11316	143
395	11343	114
396	11372	85
397	11400	57
398	11429	28
399	11453	0
